State,Year,Child_population,all_removals,ROR,Housing_ROR
Florida,2017,564540,12645,22.39876713784674,152.0
Georgia,2017,334296,6093,18.226362265776437,172.0
Hawaii,2017,46903,891,18.99665266614076,
Idaho,2017,57926,976,16.849083313192693,
Illinois,2017,401526,3747,9.3318988060549,
Indiana,2017,214334,9903,46.203588791325686,24.0
Iowa,2017,100258,3211,32.02736938698158,13.0
Kansas,2017,100580,3000,29.827003380393716,13.0
Kentucky,2017,141397,4806,33.98940571582141,36.0
Louisiana,2017,157993,2779,17.58938687157026,
Maine,2017,33005,636,19.269807604908344,
Maryland,2017,187106,1865,9.9676119418939,10.0
Massachusetts,2017,185469,4581,24.69954547660256,20.0
Michigan,2017,293038,5066,17.287860277506674,23.0
Minnesota,2017,179100,5662,31.61362367392518,18.0
Mississippi,2017,96986,2413,24.87987957024725,36.0
Missouri,2017,191383,5158,26.95119211215207,118.0
Montana,2017,31504,1829,58.056119857795835,
Nebraska,2017,67210,2002,29.787234042553195,23.0
Nevada,2017,92869,2474,26.639675241469167,21.0
New Hampshire,2017,32863,720,21.909137936280924,
New Jersey,2017,268912,2779,10.33423573511037,82.0
New Mexico,2017,66963,1426,21.295342203903648,15.0
New York,2017,602196,7164,11.896458960205647,58.0
North Carolina,2017,307930,4487,14.57149352125483,20.0
North Dakota,2017,26236,822,31.330995578594298,10.0
Ohio,2017,356198,9214,25.86763541625725,50.0
Oklahoma,2017,135538,3970,29.290678628871607,11.0
Oregon,2017,118838,3211,27.019976775105604,6.0
Pennsylvania,2017,364406,8496,23.314654533679466,469.0
Puerto Rico,2017,88669,250,2.819474675478465,4.0
Rhode Island,2017,27882,981,35.183989670755324,4.0
South Carolina,2017,147510,2754,18.669920683343502,8.0
South Dakota,2017,30939,880,28.443065386728726,1.0
Tennessee,2017,206035,5250,25.48110757880943,63.0
Texas,2017,1013569,15281,15.076427949157877,3.0
Utah,2017,130465,1743,13.35990495535201,
Vermont,2017,15500,593,38.25806451612903,3.0
Virginia,2017,261109,2105,8.061767307905894,36.0
Washington,2017,229189,4534,19.782799349008894,58.0
West Virginia,2017,51806,3983,76.88298652665715,49.0
Wisconsin,2017,172829,3973,22.98804020158654,15.0
Wyoming,2017,19174,904,47.14717847084594,
Alabama,2018,149151,3158,21.173173495316824,96.0
Alaska,2018,27605,1042,37.7467850027169,1.0
Arizona,2018,222981,6927,31.065427099169884,24.0
Arkansas,2018,97632,2309,23.65003277613897,30.0
California,2018,1268862,20588,16.225562748352463,1.0
Colorado,2018,171155,3617,21.13289123893547,10.0
Connecticut,2018,94768,1642,17.326523721087288,7.0
Delaware,2018,27813,303,10.894186171933988,
District of Columbia,2018,22724,263,11.573666607991552,4.0
Florida,2018,570515,12125,21.25272779856796,131.0
Georgia,2018,335188,5975,17.825817153358713,193.0
Hawaii,2018,46487,900,19.360251253038484,
Idaho,2018,57945,1104,19.05254983173699,2.0
Illinois,2018,397436,4447,11.189222918910215,
Indiana,2018,214555,7646,35.63655006874694,24.0
Iowa,2018,100506,3080,30.644936620699262,28.0
Kansas,2018,99309,3230,32.52474599482424,13.0
Kentucky,2018,141232,6045,42.8019145802651,47.0
Louisiana,2018,157355,2789,17.724254075180326,
Maine,2018,33208,880,26.499638641291256,1.0
Maryland,2018,186840,1799,9.628559195033183,21.0
Massachusetts,2018,185470,4386,23.64802933088909,16.0
Michigan,2018,293111,4597,15.683478272736268,8.0
Minnesota,2018,179875,5103,28.369701181375955,15.0
Mississippi,2018,95979,1883,19.61887496223132,39.0
Missouri,2018,191209,5224,27.32088970707446,89.0
Montana,2018,32041,1773,55.33535158078712,
Nebraska,2018,67859,1372,20.218394022900426,5.0
Nevada,2018,93316,2420,25.933387629131126,16.0
New Hampshire,2018,32777,678,20.685236598834546,
New Jersey,2018,266146,2591,9.735258091423503,58.0
New Mexico,2018,65489,1259,19.224602605017637,18.0
New York,2018,594981,6409,10.771772543997203,39.0
North Carolina,2018,308599,4266,13.823764821013677,29.0
North Dakota,2018,26850,859,31.992551210428307,11.0
Ohio,2018,356158,9380,26.33662587952538,61.0
Oklahoma,2018,135154,3600,26.636281575092116,23.0
Oregon,2018,118970,2615,21.980331175926704,11.0
Pennsylvania,2018,363116,7661,21.097941153791076,399.0
Puerto Rico,2018,80711,660,8.177324032659735,11.0
Rhode Island,2018,28137,974,34.61634147208302,3.0
South Carolina,2018,147614,3178,21.529123253891907,6.0
South Dakota,2018,30977,837,27.020047131742906,2.0
Tennessee,2018,206076,5318,25.80601331547584,47.0
Texas,2018,1022326,15359,15.023583475329788,2.0
Utah,2018,129503,1479,11.420584851316185,
Vermont,2018,15391,652,42.36241959586771,2.0
Virginia,2018,262126,2206,8.415800035097625,33.0
Washington,2018,232133,4208,18.12753895396174,84.0
West Virginia,2018,51075,3906,76.47577092511013,78.0
Wisconsin,2018,172146,3818,22.178848187004057,15.0
Wyoming,2018,19089,802,42.013725182042016,12.0
Alabama,2019,149090,3019,20.24951371654705,80.0
Alaska,2019,27062,1184,43.75138570689528,3.0
Arizona,2019,221817,7438,33.53214586799028,29.0
Arkansas,2019,96986,2373,24.46744891015198,26.0
California,2019,1254607,21654,17.259588062237814,
Colorado,2019,170300,3346,19.6476805637111,13.0
Connecticut,2019,27732,1504,54.233376604644455,12.0
Delaware,2019,22874,238,10.404826440500132,5.0
District of Columbia,2019,94516,247,2.613314147869144,
Florida,2019,577348,11771,20.388050188101456,102.0
Georgia,2019,335418,5042,15.031989934946843,141.0
Hawaii,2019,58246,929,15.94959310510593,
Idaho,2019,45831,975,21.273810303069975,4.0
Illinois,2019,392347,5292,13.488060313956778,
Indiana,2019,214647,7050,32.844623963996696,17.0
Iowa,2019,99916,2826,28.283758357019895,14.0
Kansas,2019,97911,3272,33.4181041966684,5.0
Kentucky,2019,140962,4949,35.10875271349725,70.0
Louisiana,2019,156310,2113,13.518009084511547,
Maine,2019,33029,975,29.519513155106118,6.0
Maryland,2019,186260,1438,7.720390851497906,5.0
Massachusetts,2019,184591,4056,21.972902254172737,3.0
Michigan,2019,292118,4320,14.788544355363243,5.0
Minnesota,2019,180180,4616,25.61882561882562,32.0
Mississippi,2019,95204,1821,19.127347590437374,30.0
Missouri,2019,190266,5267,27.68229741519767,94.0
Montana,2019,31547,1669,52.905189082955594,
Nebraska,2019,67670,1644,24.29436973548101,24.0
Nevada,2019,93629,2454,26.209828151534246,12.0
New Hampshire,2019,32629,635,19.46121548315915,
New Jersey,2019,265206,1943,7.326380247807364,46.0
New Mexico,2019,64429,1109,17.212745813220756,16.0
New York,2019,590459,6294,10.659503877491916,26.0
North Carolina,2019,309721,4300,13.88346285850814,19.0
North Dakota,2019,27209,754,27.71141901576684,6.0
Ohio,2019,355693,9446,26.55660921075197,52.0
Oklahoma,2019,133835,3441,25.71076325325961,15.0
Oregon,2019,118296,2556,21.606816798539256,8.0
Pennsylvania,2019,361510,7184,19.872202705319353,391.0
Puerto Rico,2019,73576,677,9.201370011960423,6.0
Rhode Island,2019,28040,835,29.778887303851644,11.0
South Carolina,2019,148386,3029,20.41297696548192,11.0
South Dakota,2019,30755,941,30.59665095106487,4.0
Tennessee,2019,208598,5327,25.53715759499132,70.0
Texas,2019,1021356,14018,13.724891223040741,3.0
Utah,2019,15302,1542,100.77114102731669,
Vermont,2019,128877,552,4.283153704695175,4.0
Virginia,2019,261093,2160,8.272914248945778,19.0
Washington,2019,233206,3948,16.929238527310616,89.0
West Virginia,2019,49961,3943,78.92155881587638,83.0
Wisconsin,2019,170642,3498,20.49905650426038,26.0
Wyoming,2019,18997,795,41.848712954677055,12.0
Alabama,2020,149579,2592,17.328635704209812,92.0
Alaska,2020,26684,945,35.41448058761805,2.0
Arizona,2020,220346,7125,32.335508699953714,16.0
Arkansas,2020,96802,2370,24.482965227991155,21.0
California,2020,1233088,17999,14.596687341049464,
Colorado,2020,168650,2701,16.015416543136674,11.0
Connecticut,2020,93725,938,10.008002133902373,5.0
Delaware,2020,27809,203,7.299795030385846,1.0
District of Columbia,2020,22906,146,6.373875840391164,
Florida,2020,578848,10068,17.393167118138095,76.0
Georgia,2020,332899,3408,10.23733925304672,63.0
Hawaii,2020,45684,704,15.41020926363716,2.0
Idaho,2020,58510,844,14.42488463510511,2.0
Illinois,2020,386330,6024,15.592886910154531,
Indiana,2020,214772,6353,29.580205985882703,16.0
Iowa,2020,99212,1896,19.110591460710395,1.0
Kansas,2020,97052,2087,21.503936034290895,
Kentucky,2020,140510,3670,26.119137427941073,31.0
Louisiana,2020,154658,1696,10.966131722898266,
Maine,2020,33077,819,24.760407533935968,2.0
Maryland,2020,185539,1224,6.596995779862994,6.0
